passenger_count_id,passenger_count
1,1
2,1
3,2
4,3
5,5
6,5
7,6
8,1
9,1
10,3
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,3
20,2
21,1
22,1
23,2
24,2
25,1
26,1
27,2
28,5
29,1
30,1
31,1
32,4
33,2
34,1
35,1
36,1
37,2
38,1
39,1
40,5
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,3
56,2
57,1
58,1
59,5
60,1
61,6
62,3
63,6
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,4
80,1
81,1
82,1
83,2
84,1
85,1
86,3
87,5
88,1
89,2
90,1
91,1
92,2
93,3
94,1
95,1
96,1
97,2
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,3
110,1
111,1
112,1
113,1
114,1
115,1
116,2
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,2
126,1
127,1
128,6
129,1
130,3
131,6
132,1
133,1
134,1
135,1
136,2
137,4
138,6
139,1
140,2
141,1
142,5
143,1
144,1
145,1
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,6
155,1
156,1
157,1
158,1
159,3
160,1
161,5
162,1
163,1
164,1
165,4
166,2
167,6
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,2
176,2
177,1
178,1
179,5
180,1
181,3
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,2
197,5
198,2
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,2
209,3
210,3
211,1
212,1
213,1
214,1
215,1
216,5
217,5
218,1
219,1
220,2
221,5
222,1
223,6
224,1
225,2
226,1
227,1
228,1
229,2
230,1
231,1
232,1
233,1
234,4
235,1
236,5
237,2
238,1
239,1
240,3
241,1
242,5
243,2
244,1
245,1
246,1
247,1
248,1
249,1
250,5
251,1
252,1
253,1
254,1
255,3
256,1
257,6
258,1
259,1
260,3
261,1
262,1
263,2
264,1
265,3
266,2
267,5
268,5
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,5
278,1
279,1
280,5
281,3
282,1
283,5
284,1
285,1
286,1
287,2
288,1
289,6
290,6
291,1
292,5
293,1
294,1
295,2
296,6
297,2
298,5
299,2
300,1
301,2
302,6
303,1
304,1
305,1
306,1
307,2
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,6
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,2
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,2
342,1
343,1
344,1
345,2
346,1
347,5
348,1
349,1
350,2
351,1
352,1
353,1
354,2
355,5
356,2
357,1
358,1
359,3
360,1
361,1
362,1
363,1
364,1
365,1
366,2
367,1
368,1
369,1
370,1
371,1
372,1
373,2
374,1
375,1
376,5
377,5
378,1
379,1
380,5
381,1
382,5
383,1
384,1
385,5
386,1
387,1
388,1
389,1
390,1
391,1
392,5
393,1
394,5
395,1
396,1
397,2
398,1
399,1
400,1
401,3
402,1
403,1
404,1
405,6
406,2
407,1
408,1
409,1
410,2
411,1
412,6
413,1
414,1
415,1
416,2
417,1
418,2
419,1
420,2
421,4
422,1
423,1
424,1
425,1
426,1
427,1
428,6
429,1
430,1
431,1
432,1
433,1
434,1
435,6
436,2
437,2
438,1
439,2
440,6
441,6
442,3
443,1
444,2
445,3
446,1
447,3
448,1
449,2
450,2
451,1
452,1
453,5
454,5
455,2
456,1
457,1
458,1
459,1
460,5
461,5
462,1
463,2
464,1
465,1
466,1
467,1
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,1
476,6
477,6
478,1
479,1
480,1
481,1
482,1
483,1
484,2
485,5
486,1
487,2
488,4
489,1
490,3
491,1
492,5
493,1
494,1
495,2
496,1
497,6
498,1
499,2
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,2
513,1
514,6
515,1
516,1
517,1
518,6
519,6
520,2
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,6
531,5
532,1
533,1
534,2
535,1
536,1
537,6
538,5
539,5
540,1
541,4
542,1
543,1
544,1
545,1
546,3
547,6
548,6
549,5
550,1
551,1
552,1
553,6
554,5
555,1
556,2
557,3
558,1
559,2
560,1
561,1
562,2
563,1
564,1
565,1
566,5
567,6
568,1
569,6
570,1
571,5
572,5
573,1
574,5
575,1
576,2
577,2
578,1
579,1
580,5
581,1
582,4
583,1
584,1
585,1
586,1
587,1
588,3
589,2
590,1
591,1
592,1
593,2
594,1
595,6
596,1
597,1
598,5
599,5
