payment_type_id,payment_type,payment_type_name
1,1,Credit card
2,1,Credit card
3,1,Credit card
4,1,Credit card
5,1,Credit card
6,1,Credit card
7,2,Cash
8,3,No charge
9,1,Credit card
10,1,Credit card
11,2,Cash
12,2,Cash
13,1,Credit card
14,1,Credit card
15,1,Credit card
16,1,Credit card
17,2,Cash
18,1,Credit card
19,1,Credit card
20,1,Credit card
21,2,Cash
22,2,Cash
23,1,Credit card
24,2,Cash
25,1,Credit card
26,2,Cash
27,1,Credit card
28,1,Credit card
29,1,Credit card
30,1,Credit card
31,2,Cash
32,2,Cash
33,1,Credit card
34,1,Credit card
35,1,Credit card
36,2,Cash
37,1,Credit card
38,1,Credit card
39,1,Credit card
40,1,Credit card
41,2,Cash
42,2,Cash
43,1,Credit card
44,2,Cash
45,1,Credit card
46,2,Cash
47,1,Credit card
48,1,Credit card
49,1,Credit card
50,1,Credit card
51,1,Credit card
52,1,Credit card
53,1,Credit card
54,2,Cash
55,1,Credit card
56,2,Cash
57,2,Cash
58,1,Credit card
59,1,Credit card
60,1,Credit card
61,1,Credit card
62,1,Credit card
63,1,Credit card
64,2,Cash
65,1,Credit card
66,1,Credit card
67,2,Cash
68,1,Credit card
69,1,Credit card
70,1,Credit card
71,1,Credit card
72,1,Credit card
73,1,Credit card
74,1,Credit card
75,1,Credit card
76,1,Credit card
77,2,Cash
78,2,Cash
79,1,Credit card
80,1,Credit card
81,2,Cash
82,1,Credit card
83,2,Cash
84,1,Credit card
85,1,Credit card
86,1,Credit card
87,1,Credit card
88,1,Credit card
89,2,Cash
90,2,Cash
91,1,Credit card
92,1,Credit card
93,1,Credit card
94,1,Credit card
95,2,Cash
96,1,Credit card
97,1,Credit card
98,1,Credit card
99,2,Cash
100,1,Credit card
101,1,Credit card
102,2,Cash
103,1,Credit card
104,1,Credit card
105,1,Credit card
106,1,Credit card
107,1,Credit card
108,1,Credit card
109,2,Cash
110,3,No charge
111,2,Cash
112,1,Credit card
113,1,Credit card
114,1,Credit card
115,1,Credit card
116,2,Cash
117,1,Credit card
118,1,Credit card
119,1,Credit card
120,2,Cash
121,2,Cash
122,2,Cash
123,1,Credit card
124,1,Credit card
125,1,Credit card
126,1,Credit card
127,2,Cash
128,1,Credit card
129,1,Credit card
130,2,Cash
131,1,Credit card
132,2,Cash
133,1,Credit card
134,1,Credit card
135,1,Credit card
136,2,Cash
137,1,Credit card
138,1,Credit card
139,2,Cash
140,2,Cash
141,1,Credit card
142,1,Credit card
143,1,Credit card
144,1,Credit card
145,1,Credit card
146,2,Cash
147,1,Credit card
148,1,Credit card
149,1,Credit card
150,1,Credit card
151,1,Credit card
152,1,Credit card
