trip_distance_id,trip_distance
1,2.5
2,2.9
3,19.98
4,10.78
5,30.43
6,5.92
7,5.72
8,6.2
9,0.7
10,7.18
11,0.54
12,1.7
13,1.1
14,2.1
15,8.54
16,2
17,3.2
18,1.59
19,16.81
20,0.5
21,0.6
22,9.9
23,0.8
24,0.49
25,5.31
26,3.5
27,9.14
28,2.17
29,18.03
30,1
31,11.53
32,4.26
33,2.66
34,1.7
35,2.4
36,1
37,3.7
38,1.3
39,9.2
40,0.79
41,0.95
42,6.9
43,4.26
44,3.11
45,3.8
46,2.8
47,1.21
48,1.31
49,2.7
50,5.39
51,2.82
52,2.07
53,7.7
54,5.1
55,3.34
56,2.69
57,0.71
58,1.42
59,4.28
60,1.84
61,3.95
62,3.65
63,9.46
64,0.48
65,19.35
66,11.25
67,2.2
68,4.65
69,1.8
70,10.34
71,1.1
72,6.8
73,1.4
74,6.3
75,5.52
76,0.6
77,3.4
78,9.79
79,1.04
80,10.2
81,2.54
82,1.32
83,1.51
84,1.4
85,1.3
86,1.16
87,0.89
88,7.06
89,5.57
90,0.99
91,0.6
92,2.81
93,2.45
94,2.61
95,1
96,0.73
97,1.92
98,3.25
99,4.83
100,2.46
101,2.8
102,0.8
103,2.85
104,4.33
105,5.06
106,0.54
107,1.1
108,9.5
109,0.55
110,1.5
111,2.4
112,1.2
113,5.4
114,1.43
115,2.99
116,0.46
117,2.91
118,3.4
119,0.9
120,1.32
121,1
122,4.76
123,4.51
124,1.42
125,2.3
126,0.5
127,5.66
128,1.47
129,2.8
130,18.34
131,1.74
132,20.2
133,0.9
134,3.37
135,1.2
136,18.95
137,2.5
138,3.32
139,3.9
140,0.2
141,2.81
142,7.91
143,2.9
144,10
145,1.07
146,9.1
147,0.5
148,0.7
149,18.9
150,0.7
151,1.47
152,0.58
153,2.59
154,5.98
155,1.1
156,0.42
157,9.55
158,0.35
159,8.97
160,3.49
161,1.53
162,3.77
163,0.9
164,0.7
165,1.65
166,2.46
167,1.96
168,1.6
169,5.14
170,2.51
171,18.3
172,3.3
173,3.2
174,0.93
175,3.22
176,2.23
177,4.44
178,11.43
179,1
180,1.37
181,2.38
182,0.73
183,0.79
184,1.91
185,2.31
186,0.49
187,1.07
188,1.33
189,1.42
190,4.09
191,4.14
192,6.94
193,0.92
194,1.4
195,2.36
196,1.56
197,2.3
198,2.19
199,3.87
200,1.13
201,1.19
202,1.22
203,1.5
204,1.03
205,0.85
206,4.94
207,1.15
208,1.15
209,2.77
210,2.72
211,0.41
212,1.47
213,0.75
214,1.62
215,0.88
216,4.84
217,0.49
218,0.3
219,17.49
220,1.96
221,1.16
222,1.63
223,1.02
224,3.17
225,11.15
226,1
227,12.59
228,2.67
229,1
230,0.83
231,0.53
232,18.04
233,3.28
234,2.05
235,0.94
236,0.72
237,1.18
238,1.57
239,4.85
240,0.56
241,0.42
242,1.4
243,2.58
244,2.89
245,2.55
246,0.61
247,1.06
248,1.13
249,1.26
250,3.05
251,12.92
252,1.28
253,2.01
254,5.54
255,0.86
256,0.54
257,0.48
258,15.18
259,1.04
260,3.14
261,3.13
262,2.94
263,4.79
